name,NE_name,r,x,b,length,Comment,geometry,bus0,bus1,EIC_Code,TSO,CORE-TSO_bus0,CORE-TSO_bus1,v_nom,Maximum Current Imax (A) Period 1,Maximum Current Imax (A) Period 2,Maximum Current Imax (A) Period 3,Maximum Current Imax (A) Period 4,Maximum Current Imax (A) Period 5,Maximum Current Imax (A) Period 6,Maximum Current Imax (A) Fixed,Dynamic line rating (DLR) DLRmin(A),Dynamic line rating (DLR) DLRmax(A),s_nom,tie_line
1524,LIT 225kV N0 1 BRENS - VERFEIL,2.35,15.638,0.00011319599999999999,39.187,,"LINESTRING (1.9597922281984563 43.90560138628059, 1.672188296784515 43.62955137980047)",549628132,109817708T,17T000000018543I,RTE,BRENS (CNR),VERFEIL,220,831.0,984.0,984.0,1099.0,,,,,,241.78,False
1525,LIT 225kV N0 1 BREUIL (LE) - PIQUAGE A SAINT GERONS,3.063,13.853,9.561400000000001e-05,34.393,,"LINESTRING (2.214151787803937 45.24627070286667, 2.2126332 44.9443344)",82306874T,1356938112,,RTE,BREUIL (LE),PIQUAGE A SAINT GERONS,220,629.0,756.0,756.0,844.0,,,,,,185.68,False
1526,LIT 225kV N0 1 BREUIL (LE)-MOLE (LA),1.791,8.345,5.4516e-05,19.922,,"LINESTRING (2.214151787803937 45.24627070286667, 2.356662991418085 45.39404524931418)",82306874T,104008765,17T0000000185844,RTE,BREUIL (LE),MOLE (LA),220,622.0,748.0,748.0,834.0,,,,,,183.48,False
1527,LIT 225kV N0 1 BREUIL (LE)-PEYRAT-LE-CHATEAU,6.396,28.64,0.000199326,71.58,,"LINESTRING (2.214151787803937 45.24627070286667, 1.803454117421444 45.801855981050586)",82306874T,138108387,17T0000000185852,RTE,BREUIL (LE),PEYRAT-LE-CHATEAU,220,629.0,756.0,756.0,844.0,,,,,,185.68,False
1528,LIT 225kV N0 1 BROC-CARROS (LE) - LINGOSTIERE,0.69,4.616,3.3122e-05,11.971,,"LINESTRING (7.191599545888107 43.80309836528222, 7.187848994686276 43.71875690676485)",90842395T,146590045,17T000000016754F,RTE,BROC-CARROS (LE),LINGOSTIERE,220,1062.0,1160.0,1160.0,1238.0,,,,,,272.36,False
1529,LIT 225kV N0 1 BROC-CARROS (LE) - TRINITE-VICTOR,0.812,5.476,4.0526000000000005e-05,13.853,,"LINESTRING (7.191599545888107 43.80309836528222, 7.31897431122526 43.7471745555379)",90842395T,265745327,17T000000016755D,RTE,BROC-CARROS (LE),TRINITE-VICTOR,220,1062.0,1160.0,1160.0,1238.0,,,,,,272.36,False
1531,LIT 225kV N0 1 BRUGES-PESSAC,0.828,5.538,4.2590000000000004e-05,13.884,,"LINESTRING (-0.6366033331683538 44.890914106620734, -0.6666384020028564 44.788110883549216)",138610604,27558020,17T000000018716D,RTE,BRUGES,PESSAC,220,655.0,655.0,760.0,760.0,,,,,,167.2,False
1532,LIT 225kV N0 1 BUIRE-PONT-SUR-SAMBRE,2.641,17.72,0.000126416,44.04,,"LINESTRING (4.049265824744523 49.91587333435246, 3.863788937074948 50.22939578779708)",145289725,147580984,17T000000018795S,RTE,BUIRE,PONT-SUR-SAMBRE,220,1250.0,1250.0,1250.0,1250.0,,,,,,275.0,False
1533,LIT 225kV N0 1 BUTTES-CHAUMONT-ROMAINVILLE,0.17,0.66,0.000574,6.198,,"LINESTRING (2.376256207172935 48.875564615183336, 2.4376763286329908 48.89450259734247)",63213632,35538714,17T0000000167862,RTE,BUTTES-CHAUMONT,ROMAINVILLE,220,440.0,440.0,550.0,550.0,,,,,,121.0,False
1535,LIT 225kV N0 1 CALAN - POTEAU-ROUGE,0.104,1.067,0.000508946,6.8,,"LINESTRING (-3.302988870976443 47.88070051817289, -3.3117163915584817 47.82518493411139)",210389707T,146360244,17T000000019479X,RTE,CALAN,POTEAU-ROUGE,220,1110.0,1110.0,1403.0,1403.0,,,,,,308.66,False
1536,LIT 225kV N0 1 CANTEGRIT-MARSILLON,4.678,30.486,0.000222014,77.402,,"LINESTRING (-0.8874731635478703 44.01307996889373, -0.595459522044191 43.38588681989828)",111458307T,111414142T,17T0000000195548,RTE,CANTEGRIT,MARSILLON,220,997.0,1096.0,1096.0,1155.0,,,,,,254.1,False
1537,LIT 225kV N0 1 CANTEGRIT-MOUGUERRE,4.563,33.778,0.000235486,83.1,,"LINESTRING (-0.8874731635478703 44.01307996889373, -1.441470835347749 43.48444364321337)",111458307T,111558561,17T-FR-00000063V,RTE,CANTEGRIT,MOUGUERRE,220,1884.0,1890.0,1890.0,1890.0,,,,,,415.8,False
1538,LIT 225kV N0 1 CANTEGRIT-NAOUTOT,2.296,15.425,0.00010894199999999999,38.208,,"LINESTRING (-0.8874731635478703 44.01307996889373, -0.5183613233138787 43.85974720680712)",111458307T,113020114,17T0000000195556,RTE,CANTEGRIT,NAOUTOT,220,935.0,1000.0,1000.0,1080.0,,,,,,237.6,False
1539,LIT 225kV N0 1 CAPELLE (LA) - HERIE-LA-VIEVILLE,2.985,14.747,0.00010335200000000001,33.829,,"LINESTRING (3.935112182325293 49.97365746445144, 3.662200566766335 49.80888463688899)",117975440T,818615628,17T000000019585Y,RTE,CAPELLE (LA),HERIE-LA-VIEVILLE (LE),220,579.0,709.0,709.0,822.0,,,,,,180.84,False
1540,LIT 225kV N0 1 CAPELLE (LA)-PONT-SUR-SAMBRE,1.827,12.238,8.756600000000001e-05,30.47,,"LINESTRING (3.935112182325293 49.97365746445144, 3.863788937074948 50.22939578779708)",117975440T,147580984,17T000000019586W,RTE,CAPELLE (LA),PONT-SUR-SAMBRE,220,1273.0,1346.0,1346.0,1453.0,,,,,,319.66,False
1541,LIT 225kV N0 1 CARRIERES - PLESSIS-GASSOT,1.622,10.781,7.6648e-05,26.831,,"LINESTRING (2.4413589595362226 49.24306512721464, 2.432692844072572 49.03408698756378)",749073921,82741307T,17T000000019675X,RTE,CARRIERES,PLESSIS-GASSOT,220,510.0,767.0,767.0,976.0,,,,,,214.72,False
