name,x,y,CORE-TSO_country,CORE-TSO_tso,OSM_type,OSM_name,OSM_country,OSM_voltage,OSM_operator,OSM_alt_name,Comments,CORE-TSO-name,geometry,transformer_dupplicate,v_nom
28622657,14.690021953414233,49.4116049700708,CZ,CEPS,Polygon,Tábor,CZ,220000;110000;22000,ČEPS,,,Tabor,POINT (14.690021953414233 49.4116049700708),False,220.0
28628927,17.647828431700574,49.97320346660107,CZ,CEPS,Polygon,Horní Životice,CZ,400000;110000,ČEPS,,,"H.Zivotice, H. Zivotice",POINT (17.647828431700574 49.97320346660107),False,400.0
28468576,14.768623247695958,50.143021870609175,CZ,CEPS,Polygon,Rozvodna Čechy střed,CZ,400000;220000;110000,ČEPS,,,"C. Stred, TR C. Stred T401",POINT (14.768623247695958 50.143021870609175),False,400.0
28477054,13.335280425866396,49.58968984155671,CZ,CEPS,Polygon,Přeštice,CZ,400000;220000;110000,ČEPS,,,Prestice,POINT (13.335280425866396 49.58968984155671),False,400.0
26143409,16.458080876198498,49.330315842785176,CZ,CEPS,Polygon,Čebín,CZ,400000;110000;25000,,,,Cebin,POINT (16.458080876198498 49.330315842785176),False,400.0
28382372,15.59909177461945,49.580664534031854,CZ,CEPS,Polygon,Mírovka,CZ,400000;110000,ČEPS,,,Mirovka,POINT (15.59909177461945 49.580664534031854),False,400.0
28624004,18.31585276475545,49.7050424837614,CZ,CEPS,Polygon,Lískovec,CZ,220000;110000,ČEPS,,,"Liskovec, LISKOWIEC, Liskovec ",POINT (18.31585276475545 49.7050424837614),False,220.0
28268556,15.835183566285863,50.33590680327703,CZ,CEPS,Polygon,Neznášov,CZ,400000;110000,ČEPS,,,Neznasov,POINT (15.835183566285863 50.33590680327703),False,400.0
28348269,15.649198616042376,50.03188429128898,CZ,CEPS,Polygon,Opočínek,CZ,220000;110000,ČEPS,,,Opocinek,POINT (15.649198616042376 50.03188429128898),False,220.0
28479829,14.42199718190684,49.0253116812348,CZ,CEPS,Polygon,rozvodna Dasný,CZ,400000;110000,ČEPS,,,Dasny,POINT (14.42199718190684 49.0253116812348),False,400.0
28622793,15.361324479184216,50.05491703438246,CZ,CEPS,Polygon,Týnec,CZ,400000;110000,,,,Tynec,POINT (15.361324479184216 50.05491703438246),False,400.0
28624204,18.43071515413453,49.66900925521413,CZ,CEPS,Polygon,Nošovice,CZ,400000;110000,ČEPS,,,"Nosovice, NOSOVICE",POINT (18.43071515413453 49.66900925521413),False,400.0
28457258,14.329935709432464,50.01576645531679,CZ,CEPS,Polygon,Transformovna Řeporyje,CZ,400000;110000;22000,,,,Reporyje,POINT (14.329935709432464 50.01576645531679),False,400.0
