line_name,eic_code,tso,substation_1,substation_2,voltage_kv
Opladen - Rommerskirchen OPLADN N,11T0-0000-0793-M,AMPRION GMBH,Opladen,Rommerskirchen,380.0
Opladen - Rommerskirchen OPLADN S,11T0-0000-0794-J,AMPRION GMBH,Opladen,Rommerskirchen,380.0
Quint - Uchtelfangen OSBURG,11T0-0000-0445-E,AMPRION GMBH,Quint,Uchtelfangen,220.0
Guetersloh - Hesseln OSNING O,11T0-0000-1865-H,AMPRION GMBH,Guetersloh,Hesseln,380.0
Garenfeld - Kruckel OSTENDE,11T0-0000-2180-G,AMPRION GMBH,Garenfeld,Kruckel,380.0
Y-St.Barbara (-BASF - Mutterstadt) OTTERB N,11T0-0000-1951-S,AMPRION GMBH,St. Barbara,Y-Mutterstadt,220.0
Y-BASF (-Mutterstadt - St.Barbara) OTTERB N,11T0-0000-1952-P,AMPRION GMBH,BASF,Y-Mutterstadt,220.0
Y-Mutterstadt (-BASF - St.Barbara) OTTERB N,11T0-0000-1953-M,AMPRION GMBH,Mutterstadt,Y-Mutterstadt,220.0
Homburg - Uchtelfangen OTTERB S,11T0-0000-2073-G,AMPRION GMBH,Homburg,Uchtelfangen,220.0
Paffendorf - Rommerskirchen PAFFEN N,11T0-0000-0829-R,AMPRION GMBH,Paffendorf,Rommerskirchen,380.0
Paffendorf - Rommerskirchen PAFFEN S,11T0-0000-0830-D,AMPRION GMBH,Paffendorf,Rommerskirchen,380.0
Kruckel - Witten PERSEBEK,11T0-0000-0678-K,AMPRION GMBH,Kruckel,Witten,380.0
St. Peter - Rommerskirchen PETER S,11T0-0000-0856-O,AMPRION GMBH,St. Peter,Rommerskirchen,380.0
Niederrhein - Pfalzdorf PFALZD N,11T0-0000-0385-3,AMPRION GMBH,Niederrhein,Pfalzdorf,220.0
Niederrhein - Pfalzdorf PFALZD S,11T0-0000-0386-0,AMPRION GMBH,Niederrhein,Pfalzdorf,220.0
Y-Hattingen (-Laer - Poeppinghausen) POEPPI O,11T0-0000-0320-5,AMPRION GMBH,Hattingen,Poeppinghausen,220.0
Laer - Poeppinghausen POEPPI W,11T0-0000-0347-D,AMPRION GMBH,Hattingen,Poeppinghausen,220.0
Y-Bergmannsglueck (-Bellendorf - Kusenhorst) POLSUM S,11T0-0000-0170-W,AMPRION GMBH,Bergmannsglueck,Y-Bellendorf,220.0
Y-Kusenhorst (-Bellendorf - Bergmannsglück) POLSUM S,11T0-0000-0346-G,AMPRION GMBH,Kusenhorst,Y-Bellendorf,220.0
Gronau - Niederrhein PRHAMSBW,11T0-0000-0618-7,AMPRION GMBH,Gronau,KUES Luengenkamp,380.0
Y-Hanekenfaehr (-Oechtel - Uentrop) PRRXOUES,11T0-0000-0930-8,AMPRION GMBH,Hanekenfaehr,Y-Oechtel,380.0
Y-Roxel (-Hanekenfaehr - Oechtel) ROXEL O,11T0-0000-0932-2,AMPRION GMBH,Roxel,Y-Oechtel,380.0
Y-Oechtel (-Hanekenfaehr - Roxel) ROXEL O,11T0-0000-0931-5,AMPRION GMBH,Oechtel,Y-Oechtel,380.0
Mittelbexbach - Otterbach RAMSTE S,11T0-0000-0806-7,AMPRION GMBH,Mittelbexbach,Otterbach,380.0
Ratsbusch - Wambel RATSBU N,11T0-0000-0531-P,AMPRION GMBH,Ratsbusch,Wambel,220.0
Ratsbusch - Wambel RATSBU S,11T0-0000-1438-3,AMPRION GMBH,Ratsbusch,Wambel,220.0
Emscherbruch - Mengede RECKLI N,11T0-0000-1496-M,AMPRION GMBH,Emscherbruch,Mengede,380.0
Emscherbruch - Mengede RECKLI S,11T0-0000-2064-H,AMPRION GMBH,Emscherbruch,Mengede,380.0
Muendelheim - Rheinhausen RHAUSN W,11T0-0000-0367-5,AMPRION GMBH,Muendelheim,Rheinhausen,220.0
Opladen - St. Peter RHFELD,11T0-0000-1671-Z,AMPRION GMBH,Opladen,St. Peter,380.0
Y-Buerstadt (-Kried - Pfungstadt) RIED O,11T0-0000-2302-W,AMPRION GMBH,Buerstadt,Y-Ried,380.0
Y-Pfungstadt (-Buerstadt - Kried) RIED O,11T0-0000-2304-Q,AMPRION GMBH,Ried,Y-Ried,380.0
Y-Kried (-Buerstadt - Pfungstadt) RIED O,11T0-0000-0816-3,AMPRION GMBH,Pfungstadt,Y-Ried,380.0
Y-Bischofsheim (-Buerstadt - Pfungstadt) RIED W,11T0-0000-0563-7,AMPRION GMBH,Bischofsheim,Y-Pfungstadt,380.0
Y-Buerstadt (-Bischofsheim - Pfungstadt) RIED W,11T0-0000-0573-3,AMPRION GMBH,Buerstadt,Y-Pfungstadt,380.0
Y-Pfungstadt (-Bischofsheim - Buerstadt) RIED W,11T0-0000-0819-V,AMPRION GMBH,Pfungstadt,Y-Pfungstadt,380.0
Brauweiler - Rommerskirchen ROKI O,11T0-0000-0458-1,AMPRION GMBH,Brauweiler,Rommerskirchen,220.0
BASF - Mutterstadt ROXHM S,11T0-0000-0375-7,AMPRION GMBH,BASF,Mutterstadt,220.0
Eiberg - Mettmann RUHRTL O,11T0-0000-1898-X,AMPRION GMBH,Eiberg,Mettmann,380.0
Eiberg - Mettmann RUHRTL W,11T0-0000-1846-M,AMPRION GMBH,Eiberg,Mettmann,380.0
Nehden - Uentrop SAUERL N,11T0-0000-0744-2,AMPRION GMBH,Nehden,Uentrop,380.0
Arpe - Nehden SAUERL S,11T0-0000-0743-5,AMPRION GMBH,Arpe,Nehden,380.0
Y-Oberzier (-Paffendorf - Sechtem) SECHTM N,11T0-0000-0781-W,AMPRION GMBH,Oberzier,Y-Paffendorf,380.0
Y-Paffendorf (-Oberzier - Sechtem) SECHTM N,11T0-0000-0814-9,AMPRION GMBH,Paffendorf,Y-Paffendorf,380.0
Y-Sechtem (-Oberzier - Paffendorf) SECHTM N,11T0-0000-0848-M,AMPRION GMBH,Sechtem,Y-Paffendorf,380.0
Y-Oberzier (-Paffendorf - Sechtem) SECHTM S,11T0-0000-0782-T,AMPRION GMBH,Oberzier,Y-Paffendorf,380.0
Y-Paffendorf (-Oberzier - Sechtem) SECHTM S,11T0-0000-0815-6,AMPRION GMBH,Paffendorf,Y-Paffendorf,380.0
Y-Sechtem (-Oberzier - Paffendorf) SECHTM S,11T0-0000-0849-J,AMPRION GMBH,Sechtem,Y-Paffendorf,380.0
Y-Oberzier (-Dahlem - Rommersheim) SELHN O,11T0-0000-0783-Q,AMPRION GMBH,Oberzier,Y-Dahlem,380.0
Y-Rommersheim (-Dahlem - Oberzier) SELHN O,11T0-0000-1629-V,AMPRION GMBH,Rommersheim,Y-Dahlem,380.0
Y-Niederstedem (-Dahlem - Oberzier) SELHN W,11T0-0000-0762-0,AMPRION GMBH,Niederstedem,Y-Dahlem,380.0
Y-Oberzier (-Dahlem - Niederstedem) SELHN W,11T0-0000-0784-N,AMPRION GMBH,Oberzier,Y-Dahlem,380.0
Altenkleusheim - Setzer Wiese SETZE N,11T0-0000-0117-Z,AMPRION GMBH,Altenkleusheim,Setzer Wiese,220.0
Bergmannsglueck - Niederrhein SHERMB N,11T0-0000-0166-I,AMPRION GMBH,Bergmannsglueck,Niederrhein,220.0
FWH-S - Urberach SHWANH O,11T0-0000-0516-I,AMPRION GMBH,FWH-S,Urberach,220.0
FWH-S - Urberach SHWANH W,11T0-0000-0517-F,AMPRION GMBH,FWH-S,Urberach,220.0
Kruckel - Unna SHWERT N,11T0-0000-0548-0,AMPRION GMBH,Kruckel,Unna,380.0
Dausersberg - Eiserfeld SIEGRL O,11T0-0000-0481-A,AMPRION GMBH,Dauersberg,Eiserfeld,220.0
Dauersberg - Eiserfeld SIEGRL W,11T0-0000-0250-Z,AMPRION GMBH,Dauersberg,Eiserfeld,220.0
Dauersberg - Siegburg SIEGTA N,11T0-0000-0586-R,AMPRION GMBH,Dauersberg,Siegburg,380.0
Dauersberg - Sechtem SIEGTA S,11T0-0000-0587-O,AMPRION GMBH,Dauersberg,Sechtem,380.0
Bacharach - Weissenthurm SOONWD O,11T0-0000-0973-K,AMPRION GMBH,Bacharach,Weissenthurm,380.0
Waldlaubersheim - Weissenthurm SOONWD W,11T0-0000-0901-H,AMPRION GMBH,Waldlaubersheim,Weissenthurm,380.0
Niederrhein - Spellen SPELLN S,11T0-0000-0387-Y,AMPRION GMBH,Niederrhein,Spellen,220.0
