nuts3,hh_mwh,cts_mwh,ind_mwh,total_mwh,total_gwh,population
DE914,284067.8515070223,262868.758110976,402782.7745248826,949719.384142881,949.719384142881,174205.0
DE21M,283997.73344144004,262803.8727368549,402683.35338711634,949484.9595654112,949.4849595654113,174162.0
DE264,283236.2186361599,262099.1873946556,401603.5935885852,946938.9996194008,946.9389996194009,173695.0
DEE07,282874.21373943175,261764.19778872788,401090.3030633734,945728.714591533,945.7287145915329,173473.0
DE21B,282469.8118728163,261389.9751658897,400516.8974316052,944376.6844703113,944.3766844703113,173225.0
DE723,280345.0714203974,259423.79743380047,397504.20574533945,937273.0745995373,937.2730745995373,171922.0
DE279,277714.8286347091,256989.84142316357,393774.7570193635,928479.4270772361,928.4794270772361,170309.0
DEA16,276033.62571341626,255434.10140644523,391390.9618324564,922858.6889523179,922.858688952318,169278.0
DE13A,273722.9908545698,253295.9019848256,388114.688525136,915133.5813645314,915.1335813645314,167861.0
DE404,273533.8351427656,253120.8623709174,387846.4826651154,914501.1801787984,914.5011801787983,167745.0
DE259,273367.50856859295,252966.94822765337,387610.646477856,913945.1032741023,913.9451032741023,167643.0
DE94C,273212.59656323603,252823.5968197113,387390.995126977,913427.1885099243,913.4271885099243,167548.0
DEE05,268759.2840724026,248702.6210819249,381076.5968190785,898538.501973406,898.5385019734059,164817.0
DE948,268623.93989930145,248577.37722024924,380884.6909019948,898086.0080215455,898.0860080215455,164734.0
DEB34,268597.8494562944,248553.23382522742,380847.69699026784,897998.7802717896,897.9987802717897,164718.0
DE406,268288.0254455804,248266.53100934334,380408.39428850997,896962.9507434338,896.9629507434338,164528.0
DEF07,267361.8147188165,247409.44048606887,379095.1104222023,893866.3656270877,893.8663656270877,163960.0
DE943,267149.82986938086,247213.2754015166,378794.5348894206,893157.6401603181,893.1576401603181,163830.0
DE40H,266698.1390748146,246795.2928752014,378154.0777926473,891647.5097426634,891.6475097426634,163553.0
DEA24,266590.5159974085,246695.70137073635,378001.47790677345,891287.6952749183,891.2876952749183,163487.0
DE937,266208.9432684245,246342.60421854228,377460.4419477664,890011.9894347332,890.0119894347332,163253.0
DE944,264822.8884836542,245059.9863580083,375495.1403872708,885378.0152289332,885.3780152289332,162403.0
DE133,264299.44897081685,244575.6094953831,374752.9500332483,883628.0084994482,883.6280084994482,162082.0
DE26C,261600.7187722341,242078.2770728139,370926.39228898904,874605.388134037,874.6053881340371,160427.0
DEA19,258826.97855000565,239511.532389557,366993.47704851476,865331.9879880773,865.3319879880773,158726.0
DE408,258027.95873290164,238772.14091701386,365860.53850187606,862660.6381517915,862.6606381517915,158236.0
DE736,256977.81840185233,237800.36926738571,364371.53355486516,859149.7212241032,859.1497212241032,157592.0
DEB14,255720.5851794308,236636.9594197719,362588.8894335215,854946.4340327242,854.9464340327243,156821.0
DE80M,254822.09554836177,235805.5212537081,361314.9115984237,851942.5284004936,851.9425284004935,156270.0
DE125,254817.20359029833,235800.9943671415,361307.9752399749,851926.1731974147,851.9261731974148,156267.0
DE928,254717.73377633226,235708.94767362083,361166.9359515158,851593.6174014689,851.5936174014689,156206.0
DEA55,254138.85207210403,235173.26609657425,360346.13353507343,849658.2517037517,849.6582517037517,155851.0
DE12A,253336.57094962543,234430.85669965338,359208.57074946887,846975.9983987476,846.9759983987476,155359.0
DE711,253326.78703349747,234421.8029265202,359194.6980325713,846943.287992589,846.9432879925889,155353.0
DE227,252061.40054763688,233250.84826796208,357400.4933138129,842712.7421294118,842.7127421294118,154577.0
DE27E,248955.00717706204,230376.275298177,352995.9056988196,832327.1881740587,832.3271881740587,152672.0
DEB3I,247118.8922504133,228677.18387351662,350392.45916103356,826188.5352849634,826.1885352849635,151546.0
DE217,243570.59200140016,225393.68215054955,345361.2871661646,814325.5613181143,814.3255613181143,149370.0
DE923,241794.81122420574,223750.42232687713,342843.3890492472,808388.62260033,808.38862260033,148281.0
DEB25,241334.9671661994,223324.8949896176,342191.3713550592,806851.2335108762,806.8512335108762,147999.0
DE245,237374.1117871317,219659.625832868,336575.23313100747,793608.9707510071,793.6089707510071,145570.0
DE232,237202.89325489558,219501.18480303735,336332.4605852992,793036.5386432321,793.0365386432321,145465.0
DE239,236222.87098942752,218594.29852753037,334942.87677605456,789760.0462930124,789.7600462930125,144864.0
DEC05,235766.28823679782,218171.78911464856,334295.4833208325,788233.5606722789,788.2335606722788,144584.0
DEA44,234830.2935939059,217305.6448182409,332968.32673762715,785104.2651497739,785.1042651497739,144010.0
DE127,233078.97260703082,215685.01942740142,330485.11041295377,779249.102447386,779.249102447386,142936.0
DEE0A,230587.33529981927,213379.3252028179,326952.1918430274,770918.8523456645,770.9188523456645,141408.0
DE27C,228974.61979142192,211886.96159803186,324665.5056744036,765527.0870638574,765.5270870638574,140419.0
DE938,228721.8686247868,211653.07245875802,324307.12715454854,764682.0682380933,764.6820682380933,140264.0
DE916,225414.90497359305,208592.8971397427,319618.14884315414,753625.9509564899,753.6259509564899,138236.0
DE94F,224811.5634790455,208034.5811298632,318762.6646344678,751608.8092433765,751.6088092433765,137866.0
DE27B,224555.5510070347,207797.67406621162,318399.6618756468,750752.8869488931,750.7528869488931,137709.0
DE135,224214.74459525026,207482.30096873912,317916.4289037132,749613.4744677026,749.6134744677025,137500.0
DE218,224085.92303290142,207363.0929558189,317733.7714645612,749182.7874532816,749.1827874532815,137421.0
DEG0C,223123.8379470014,206472.8052643894,316369.6209696289,745966.2641810197,745.9662641810197,136831.0
DE137,222756.9410922088,206133.2887718951,315849.3940859683,744739.6239500723,744.7396239500723,136606.0
DEA59,222363.9537944091,205769.628884379,315292.1732905807,743425.7559693689,743.4257559693689,136365.0
DE94B,221217.60495476937,204708.8284656079,313666.7532940766,739593.1867144539,739.5931867144539,135662.0
DE918,219968.52499578797,203552.9634289384,311895.6697701476,735417.158194874,735.417158194874,134896.0
DE93B,219559.23117110907,203174.21391953368,311315.3277799306,734048.7728705734,734.0487728705734,134645.0
DE257,218729.2289529345,202406.1521654021,310138.4589631161,731273.8400814526,731.2738400814526,134136.0
DE21A,218094.90505731635,201819.1658739342,309239.044484254,729153.1154155046,729.1531154155045,133747.0
DEC03,218075.3372250605,201801.05832766782,309211.29905045877,729087.694603187,729.0876946031871,133735.0
DE21L,217889.44281863197,201629.0366381374,308947.7174294041,728466.1968861734,728.4661968861734,133621.0
DEF05,216741.46332630445,200566.72725717744,307319.98531341704,724628.175896899,724.6281758968989,132917.0
DE21N,216723.52614673742,200550.12867309994,307294.5519991048,724568.2068189422,724.5682068189423,132906.0
DE211,215960.38068876948,199843.93436871178,306212.48008109065,722016.7951385719,722.0167951385719,132438.0
DE91A,215767.96367158968,199665.8768304259,305939.6499821042,721373.4904841197,721.3734904841198,132320.0
DEB3C,215577.17730709768,199489.32825432887,305669.1320026007,720735.6375640272,720.7356375640272,132203.0
DE11B,215541.3029479616,199456.13108617387,305618.2653739761,720615.6994081116,720.6156994081116,132181.0
DEF0E,214360.71040187468,198363.64246143666,303944.29086833034,716668.6437316416,716.6686437316416,131457.0
DE27D,214178.0773008228,198194.63869628395,303685.3334862415,716058.0494833483,716.0580494833482,131345.0
DE275,213478.52729768585,197547.29391726147,302693.43422806193,713719.2554430093,713.7192554430093,130916.0
DE149,213243.7133106187,197330.00336206512,302360.48902251915,712934.205695203,712.934205695203,130772.0
DE11C,212844.20340206672,196960.30762579356,301794.0197491998,711598.5307770601,711.5985307770601,130527.0
DE236,212612.65072037623,196746.0349949749,301465.6987826228,710824.384497974,710.8243844979739,130385.0
DEB13,210633.0383571863,194914.15489769453,298658.7857303384,704205.9789852193,704.2059789852193,129171.0
DE219,210036.21947339104,194361.8747365705,297812.54999958386,702210.6442095453,702.2106442095453,128805.0
DE94D,209714.98089386142,194064.60918536436,297357.0624614454,701136.6525406712,701.1366525406712,128608.0
DEE0E,209452.44581109937,193821.66627295734,296984.81122469273,700258.9233087495,700.2589233087494,128447.0
DE269,209450.8151584115,193820.15731076847,296982.4991052097,700253.4715743897,700.2534715743898,128446.0
DEF0A,209219.26247672,193605.88467994984,296654.17813863285,699479.3252953028,699.4793252953028,128304.0
DEB12,208348.49394134697,192800.09887109674,295419.506334745,696568.0991471887,696.5680991471887,127770.0
DEB3E,207586.97913606683,192095.41352889745,294339.74653621385,694022.1392011782,694.0221392011782,127303.0
DEB3B,207539.69020811605,192051.65362542038,294272.69507120864,693864.0389047451,693.8640389047451,127274.0
DE235,206047.64299862742,190670.95322261023,292157.1057443221,688875.7019655597,688.8757019655598,126359.0
DE26A,205662.80896426778,190314.83814603844,291611.4455463492,687589.0926566555,687.5890926566555,126123.0
DEG0P,204899.66350629984,189608.64384165028,290529.37362833513,685037.6809762852,685.0376809762853,125655.0
DE25B,204059.87737199737,188831.52831438556,289338.632094623,682230.037781006,682.230037781006,125140.0
DE216,203717.44030752406,188514.6462547242,288853.0870032064,681085.1735654548,681.0851735654547,124930.0
DE263,203624.4931043103,188428.63540995898,288721.2961926791,680774.4247069483,680.7744247069484,124873.0
DEG0B,203216.8299323192,188051.3948627431,288143.26632194506,679411.4911170073,679.4114911170074,124623.0
DE253,202479.7749173584,187369.34395337675,287098.18831565796,676947.3071863931,676.9473071863931,124171.0
DE21J,202409.65685177612,187304.45857925565,286998.76717789174,676712.8826089236,676.7128826089236,124128.0
