trafo_id,bus0,bus1,s_nom,type,tap_ratio,phase_shift,num_parallel
31247,38262,38263,1040,"",1,0,1
31250,39345,39346,1040,"",1,0,1
31251,39346,39347,1040,"",1,0,1
31252,34945,34946,520,"",1,0,1
31253,34738,34739,3120,"",1,0,1
31254,35536,35537,2240,"",1,0,1
31255,35653,35654,260,"",1,0,1
31256,39137,39138,1560,"",1,0,1
31257,36061,36062,1790,"",1,0,1
31258,39304,39305,260,"",1,0,1
31259,39229,39230,280,"",1,0,1
31260,35574,35575,2080,"",1,0,1
31261,35575,35576,2080,"",1,0,1
31262,39327,39328,260,"",1,0,1
31263,39328,39329,1790,"",1,0,1
31264,35437,35438,280,"",1,0,1
31265,34913,34914,1820,"",1,0,1
31266,38598,38599,1790,"",1,0,1
31267,36909,36910,1040,"",1,0,1
31268,39469,39470,2080,"",1,0,1
31269,36118,36119,1820,"",1,0,1
31270,36943,36944,2340,"",1,0,1
31271,36578,36579,260,"",1,0,1
31272,36420,36421,520,"",1,0,1
31273,34949,34950,780,"",1,0,1
31274,35071,35072,1560,"",1,0,1
31275,35072,35073,1560,"",1,0,1
31276,39330,39331,780,"",1,0,1
31277,37062,37063,520,"",1,0,1
31278,35421,35422,520,"",1,0,1
31279,36232,36233,280,"",1,0,1
31280,35162,35163,1820,"",1,0,1
31281,35633,35634,1560,"",1,0,1
31282,35151,35152,2600,"",1,0,1
31283,37116,37117,520,"",1,0,1
31284,36443,36444,2080,"",1,0,1
31285,36444,36445,3120,"",1,0,1
31286,35368,35369,2110,"",1,0,1
31287,35369,35370,2110,"",1,0,1
31288,37937,37938,560,"",1,0,1
31289,36854,36855,1040,"",1,0,1
31290,38027,38028,260,"",1,0,1
31291,38922,38923,2080,"",1,0,1
31292,37687,37688,2080,"",1,0,1
31293,35627,35628,1040,"",1,0,1
31294,35049,35050,2600,"",1,0,1
31295,36184,36185,2080,"",1,0,1
31296,36563,36564,1560,"",1,0,1
31297,35035,35036,1300,"",1,0,1
31298,35487,35488,1560,"",1,0,1
31299,38578,38579,520,"",1,0,1
31300,38512,38513,780,"",1,0,1
31301,35683,35684,1560,"",1,0,1
31302,39274,39275,3640,"",1,0,1
31303,38628,38629,1790,"",1,0,1
31304,38117,38118,800,"",1,0,1
31305,38118,38119,1040,"",1,0,1
31306,38615,38616,780,"",1,0,1
31307,35940,35941,2340,"",1,0,1
31308,34895,34896,1400,"",1,0,1
31309,39416,39417,3200,"",1,0,1
31310,36816,36817,260,"",1,0,1
31311,35616,35617,780,"",1,0,1
31312,35617,35618,2600,"",1,0,1
31313,35085,35086,520,"",1,0,1
31314,36457,36458,520,"",1,0,1
31315,36478,36479,3580,"",1,0,1
