old_bus,new_bus,reason,new_id,voltage
38079,17915,substation_simplification,17915,
38417,17924,substation_simplification,17924,
18122,38859,substation_simplification,38859,
18551,18155,substation_simplification,18155,
18580,39416,substation_simplification,39416,
18206,39416,substation_simplification,39416,
37167,39416,substation_simplification,39416,
27305,18239,substation_simplification,18239,
39052,18326,substation_simplification,18326,
37646,18411,substation_simplification,18411,
18546,18544,substation_simplification,18544,
18651,34904,substation_simplification,34904,
18657,18656,substation_simplification,18656,
37745,18685,substation_simplification,18685,
39330,37338,substation_simplification,37338,
18820,37338,substation_simplification,37338,
19425,18874,substation_simplification,18874,
18887,18874,substation_simplification,18874,
34892,18874,substation_simplification,18874,
18873,18874,substation_simplification,18874,
18958,18879,substation_simplification,18879,
18882,18884,substation_simplification,18884,
19428,18884,substation_simplification,18884,
18956,38997,substation_simplification,38997,
19923,18960,substation_simplification,18960,
18965,18961,substation_simplification,18961,
20137,20130,substation_simplification,20130,
38534,19558,substation_simplification,19558,
37729,19567,substation_simplification,19567,
19569,35116,substation_simplification,35116,
19583,19579,substation_simplification,19579,
39158,19580,substation_simplification,19580,
38294,19612,substation_simplification,19612,
19615,19612,substation_simplification,19612,
19661,39291,substation_simplification,39291,
38187,19717,substation_simplification,19717,
19750,19751,substation_simplification,19751,
39941,19775,substation_simplification,19775,
19792,19791,substation_simplification,19791,
19908,19791,substation_simplification,19791,
19874,37687,substation_simplification,37687,
20747,37687,substation_simplification,37687,
23949,37687,substation_simplification,37687,
39225,19888,substation_simplification,19888,
20203,19888,substation_simplification,19888,
35614,19932,substation_simplification,19932,
26667,20000,substation_simplification,20000,
39354,20002,substation_simplification,20002,
20011,20002,substation_simplification,20002,
20008,20010,substation_simplification,20010,
38330,20010,substation_simplification,20010,
39350,20010,substation_simplification,20010,
20035,20034,substation_simplification,20034,
21598,20055,substation_simplification,20055,
37791,20066,substation_simplification,20066,
