unit_id,capacity_kw,lat,lon,mounting_type,voltage_level
SEE992064973546,4494.72,48.401,10.66,,MV
SEE939381530861,6300.0,52.613,14.225,,MV
SEE953176104594,2248.0,47.544102,7.725419,,MV
SEE943171881927,1980.0,49.217364,8.133315,,MV
SEE978758112910,6360.0,49.709,9.484,,MV
SEE929015363705,6360.0,49.70488,9.474785,,MV
SEE953719088879,6550.0,51.384436,10.333256,,MV
SEE904554774922,1000.0,50.557883,7.91386,,MV
SEE985440650926,2296.0,54.121345,8.992771,,MV
SEE985599127744,3920.0,52.46,7.174,,MV
SEE909847609646,1030.0,52.622776,6.861988,,MV
SEE955841275196,6720.0,57.268518,10.93719,,MV
SEE957204060364,3400.0,54.07884,9.135868,,MV
SEE937468835519,1380.0,52.282726,11.959008,,MV
SEE987742102264,1086.225,51.08193,11.245129,,MV
SEE949816886012,2310.0,51.331509,14.90801,,MV
SEE927826162876,4233.6,50.350691,7.565212,,MV
SEE954235111164,4263.84,50.350691,7.565212,,MV
SEE960532804913,8100.6,51.59,13.25,,MV
SEE980928233394,1440.0,49.817053,9.784189,,MV
SEE919668440342,1400.0,52.340252,13.277484,,MV
SEE978253087232,3815.46,50.841534,6.336611,,MV
SEE983237429205,1099.92,48.594662,12.94008,,MV
SEE914062924436,3510.0,50.572877,6.600732,,MV
SEE974067392944,1250.0,48.03652,10.616075,,MV
SEE974326703283,1200.0,47.965165,10.962429,,MV
SEE971082818459,2400.0,51.617,12.307,,MV
SEE913546894524,1075.356,49.802174,7.697059,,MV
SEE973756545081,3100.0,51.70747,10.240108,,MV
SEE908257083350,3660.0,49.45803,7.786869,,MV
SEE943718276971,18000.0,52.6099,14.237,,MV
SEE965834686908,1579.5,48.761641,12.310257,,MV
SEE953146058261,2624.0,53.55479,13.201688,,MV
SEE983013094542,2460.0,53.063674,14.096703,,MV
SEE962150820528,2211.27,50.865419,11.424087,,MV
SEE946442059391,1680.0,52.3724,11.81089,,MV
SEE920896666114,5670.0,49.786649,6.73607,,MV
SEE984887986957,1588.3,51.770931,11.769804,,MV
SEE955627366759,2437.9,51.956432,11.382844,,MV
SEE925251902913,1254.0,50.213555,11.065389,,MV
SEE983823092127,1530.0,51.238124,11.878175,,MV
SEE912121982366,3734.0,49.61796,10.170807,,MV
SEE911792579950,2000.0,53.641225,12.277635,,MV
SEE933814179122,2471.67,49.911045,6.642274,,MV
SEE983369183815,1236.4,50.21756,11.064998,,MV
SEE914168256288,1326.105,50.093288,6.259351,,MV
SEE956386884010,2640.0,48.389607,10.339411,,MV
SEE932673756819,1623.6,50.189606,7.811302,,MV
SEE979837877256,1716.0,49.852816,6.79171,,MV
SEE932797557385,1188.0,51.953694,14.61542,,MV
SEE961753242881,2204.0,50.944161,12.694467,,MV
SEE920147806290,6364.8,49.708145,9.483542,,MV
SEE927208528184,1056.0,48.308092,10.639334,,MV
SEE991534320033,1570.9,48.654731,12.46853,,MV
SEE992478900954,5040.0,48.645342,12.445601,,MV
SEE907653412085,1260.0,49.652088,10.159168,,MV
SEE905164264155,20460.0,52.35,7.080029,,110
SEE972723652067,1980.0,51.265502,6.320489,,MV
SEE931525013766,5012.1,49.98757,6.562406,,MV
SEE972091639554,1973.7,49.759761,6.813655,,MV
SEE940480240933,2809.8,49.733915,6.513987,,MV
SEE917090993726,2340.0,49.773941,6.854805,,MV
SEE911159229665,1958.229,50.028409,6.791499,,MV
SEE942269065591,6540.0,51.509764,12.679131,,MV
SEE916287979659,2130.0,48.349415,11.00517,,MV
SEE944309904389,4800.0,48.368842,13.291886,,MV
SEE994941818971,4250.0,51.333731,9.157771,,MV
SEE955118518704,1157.0,49.776384,6.848728,,MV
SEE916549400587,2897.0,49.834242,6.907802,,MV
SEE907918064851,4680.0,49.595142,6.583569,,MV
SEE904237379185,2650.0,48.832298,11.23982,,MV
SEE931441604772,4333.0,48.832371,11.233548,,MV
SEE953427219312,3900.0,50.813012,10.089444,,MV
SEE990559758975,2244.0,51.142762,11.832504,,MV
SEE940896425481,2220.0,50.659747,10.999606,,MV
SEE970015820255,3630.0,50.347056,11.982015,,MV
SEE939764573690,1740.0,53.917558,11.749442,,MV
SEE951091553831,1240.0,48.657799,11.72199,,MV
SEE927850965795,1722.93,50.185663,12.116095,,MV
