jao_osm_id,cluster_id,cluster_name,cluster_osm_id,confidence,tier,distance_km,method,cluster_degree,cluster_voltages
946710698,osm_946710698,Umspannwerk Lüdershagen,946710698,1.0,0,0.0,osm_id,4,[220.0]
946025110,osm_946025110,Umspannwerk Marke,946025110,1.0,0,0.0,osm_id,2,[380.0]
11285720,osm_11285720,Hamburg/Süd,11285720,1.0,0,0.0,osm_id,2,[380.0]
442199284,osm_442199284,Umspannwerk Pulgar,442199284,1.0,0,0.0,osm_id,5,[380.0]
851299584,osm_851299584,Umspannwerk Putlitz Süd,851299584,1.0,0,0.0,osm_id,2,[380.0]
1089911132,spatial_39249,,,0.878,1,0.062,spatial_0.5km,3,[380.0]
156673637,osm_156673637,Umspannwerk Weida,156673637,1.0,0,0.0,osm_id,8,"[220.0, 380.0]"
30309989,osm_30309989,Hennigsdorf,30309989,1.0,0,0.0,osm_id,2,[220.0]
941805476,osm_941805476,Umspannwerk Schmölln,941805476,1.0,0,0.0,osm_id,6,[380.0]
30040568,osm_30040568,Umspannwerk Görries,30040568,1.0,0,0.0,osm_id,3,[380.0]
33169401,osm_33169401,Umspannwerk Stendal West,33169401,1.0,0,0.0,osm_id,5,"[220.0, 380.0]"
32843531,osm_946206351,Umspannwerk Eula,946206351,0.821,1,0.22,spatial_0.5km,5,"[220.0, 380.0]"
940922557,osm_940922557,Umspannwerk Ragow,940922557,1.0,0,0.0,osm_id,9,[380.0]
515358077,osm_515358077,Umspannwerk Altentreptow Nord,515358077,1.0,0,0.0,osm_id,4,[380.0]
414169327,osm_414169327,Umspannwerk Heinersdorf,414169327,1.0,0,0.0,osm_id,4,[380.0]
23117075,osm_23117075,Umspannwerk Röhrsdorf,23117075,1.0,0,0.0,osm_id,4,[380.0]
30303506,osm_30303506,Umspannwerk Mitte,30303506,1.0,0,0.0,osm_id,4,[380.0]
29713902,osm_29713902,Umspannwerk Lauchstädt,29713902,1.0,0,0.0,osm_id,7,[380.0]
35763480,spatial_35799,,,0.9,1,0.0,spatial_0.5km,4,[380.0]
24536328,osm_24536328,Dillenburg,24536328,1.0,0,0.0,osm_id,1,[380.0]
952346321,osm_952346322,Station Gronau,952346322,0.843,1,0.159,spatial_0.5km,6,[380.0]
92165128,osm_92165128,Station Linde,92165128,1.0,0,0.0,osm_id,3,[380.0]
57727004,osm_57727004,Umspannanlage Leupolz,57727004,1.0,0,0.0,osm_id,7,"[220.0, 380.0]"
59925390,osm_59925390,Station Karnap,59925390,1.0,0,0.0,osm_id,2,[380.0]
198448981,osm_198448981,Umspannwerk Waldlaubersheim,198448981,1.0,0,0.0,osm_id,4,[380.0]
26383042,osm_26383042,Station Gütersloh,26383042,1.0,0,0.0,osm_id,3,[380.0]
24858617,osm_24858617,Station Ratsbusch,24858617,1.0,0,0.0,osm_id,2,[220.0]
88945213,osm_88945213,Schaltanlage Gundelfingen,88945213,1.0,0,0.0,osm_id,4,[380.0]
41389594,osm_41389594,Dellmensingen,41389594,1.0,0,0.0,osm_id,9,"[220.0, 380.0]"
