bus_id,v_nom,lat,lon,is_substation,substation_name,osm_substation_id
35681,110,50.43720315326589,8.682666930844126,1,Unnamed,32865944
36611,110,51.3028263410922,14.841484948669963,1,Umspannwerk Niesky,74155827
19910,110,51.782785700000005,11.1700271,0,Unnamed,
19915,380,49.3600082,7.2396134000000005,0,Unnamed,
19916,380,49.365856,7.2342461,0,Unnamed,
38706,110,51.524143064655775,14.265283747030551,1,Umspannwerk Gießerei Sabrodt,313226054
38198,110,51.53373867748074,14.3470785096186,1,Unnamed,174320033
38755,110,51.292772904675516,12.35930352388973,1,Unnamed,362411029
40040,110,51.30540279920008,12.267945600000001,1,Unnamed,572357665
38150,110,51.4067644796404,12.42925564098572,1,Plaußig,173182951
34785,110,51.369355870322885,12.436428395808745,1,Umspannwerk Leipzig I,22931543
36562,110,51.33549924718677,12.499807186389429,1,Engelsdorf,65766722
34850,110,52.26396411412623,13.936269057755487,1,Storkow,23483391
39050,110,51.62608122192332,13.829544000917437,1,Unnamed,743397785
37738,110,51.64619062917068,13.58060824278735,1,Unnamed,149673007
39057,110,51.79520199481801,11.700148825367634,1,Umspannwerk Bernburg West,747431853
35977,110,50.640112186122614,10.679640240136717,1,Suhl Nord,39673717
35031,110,49.97885035026762,11.106891298750483,1,Umspannwerk Würgau,24757393
38608,110,50.1367821762526,11.239544039473337,1,Umspannwerk Burgkunstadt,258068068
37028,220,50.183709021310115,11.810849310920407,1,Umspannwerk Mechlenreuth,93341407
37201,110,50.26723959859886,11.355041486886781,1,Friesen,104249284
38218,110,50.91208435059885,10.561549574964927,1,Unnamed,175192442
38219,110,50.9100474354648,10.569637788110173,1,Waltershausen,175192443
38933,110,51.11658864245896,11.424878360995793,1,Buttstädt Wind,581652580
38248,110,51.00753568224883,11.646663124209363,1,Dornburg,176230318
38083,110,50.96300627376444,11.809997039258235,1,Unnamed,166627344
38233,110,50.8947386763783,11.579404506034193,1,Unnamed,175347346
3765,110,51.065649500000006,6.7210035,0,Unnamed,
2034,110,51.0937575,6.8012198,0,Unnamed,
3452,110,51.2014068,6.6511202,0,Unnamed,
3635,110,51.622796,6.336387500000001,0,Unnamed,
5224,110,51.414813800000005,6.3207922000000005,0,Unnamed,
1895,110,51.740717200000006,6.448525900000001,0,Unnamed,
3316,220,51.7172593,6.321894,0,Unnamed,
5683,110,51.458621900000004,6.883620400000001,0,Unnamed,
2866,110,51.4496909,6.8721429,0,Unnamed,
5837,110,51.136858600000004,8.2757264,0,Unnamed,
3260,220,51.3453578,7.602592100000001,0,Unnamed,
19988,110,50.5661672,12.241290000000001,0,Unnamed,
19989,110,50.448295400000006,12.1772749,0,Unnamed,
9908,380,50.639161900000005,8.0148851,0,Unnamed,
14645,380,50.1636072,8.8450603,0,Unnamed,
30166,110,50.3384781,8.792782,0,Unnamed,
35193,110,51.23165604714721,14.907901279764515,1,Umspannwerk,26619565
38847,110,51.29547419563516,12.382527743353702,1,Unnamed,427525927
38207,110,50.98803253262794,12.453939069319134,1,Umspannwerk Altenburg,174796558
38481,110,50.875905002379056,12.432623517911816,1,Umspannwerk Gößnitz,210710955
40054,110,51.31349129919887,12.264159049999996,1,Unnamed,420077983
38739,110,51.350906456995006,12.38019651335676,1,Unnamed,340455073
38106,110,51.34767304166679,12.393081148811833,1,Unnamed,169099536
35281,110,51.37282162618207,12.419053946704084,1,Unnamed,27991766
34786,110,51.40417180309218,12.405788456274827,1,Seehausen,22931760
38460,110,51.413699661376924,12.286185037951455,1,Umspannwerk Lützschena,204718372
