unit_id,capacity_mw,fuel_type,commissioning_date,lat,lon
SEE982585501878,0.0053,Mineralölprodukte,2008-10-08,,
SEE983598772187,0.0055,Erdgas,2009-09-28,,
SEE912069499995,0.36,Erdgas,2012-11-21,51.537,7.686
SEE931830883528,0.386,Erdgas,2015-11-19,48.739,9.216
SEE961500444124,1.985,Erdgas,2018-12-12,51.535,11.544
SEE920780939836,0.026,Erdgas,2014-07-09,,
SEE992390885001,0.00075,Erdgas,2018-12-18,,
SEE959648627707,0.00075,Erdgas,2018-11-30,,
SEE934704881781,0.00076,Erdgas,2019-01-15,,
SEE929823006405,0.0055,Erdgas,2004-12-27,,
SEE998037437565,0.00075,Erdgas,2019-02-04,,
SEE925619612454,0.0055,Erdgas,2011-09-07,,
SEE973421775447,0.0053,Mineralölprodukte,2003-07-02,,
SEE967453441616,0.003,Erdgas,2012-07-19,,
SEE939740149284,0.0007,Erdgas,2018-02-21,,
SEE996104992290,0.0055,Erdgas,2011-09-07,,
SEE963649409569,0.0055,Erdgas,2011-09-07,,
SEE960994856000,0.0055,Erdgas,2017-08-15,,
SEE972666388221,0.0105,Erdgas,2012-06-29,,
SEE933586253389,0.00075,Erdgas,2018-12-12,,
SEE959677226742,0.001,Erdgas,2015-05-22,,
SEE955721070415,0.0055,Erdgas,2015-12-29,,
SEE991923984945,0.0055,Erdgas,2018-11-26,,
SEE925577608704,0.00075,Erdgas,2018-12-11,,
SEE999449103048,0.0055,Erdgas,2005-11-18,,
SEE967993659960,0.005,Erdgas,2004-07-08,,
SEE905697943619,0.006,Erdgas,2019-01-07,,
SEE974431804363,0.385,Erdgas,2014-04-16,50.841271,7.419513
SEE941128698079,0.0055,Erdgas,2012-09-27,,
SEE949719958885,0.112,Erdgas,2015-12-10,51.144,7.006
SEE937178125986,0.262,andere Gase,2018-12-20,49.715703,10.002941
SEE958851335683,0.019922,Erdgas,2014-06-18,,
SEE921506399354,0.112,Erdgas,2015-12-10,51.144,7.006
SEE999193983859,0.05,Erdgas,2012-08-02,51.144,7.006
SEE979824027466,0.0055,Erdgas,2012-09-27,,
SEE935248681714,0.05,Erdgas,2015-04-15,50.074,8.48
SEE917776653326,0.021,Erdgas,2016-10-24,,
SEE970799244063,0.005397,Erdgas,2016-02-04,,
SEE990961405016,0.0145,Erdgas,2013-08-27,,
SEE921435414722,0.43,Mineralölprodukte,2008-05-01,51.334,12.365
SEE902474716466,0.00075,Erdgas,2018-08-10,,
SEE945091856061,0.239,Erdgas,2015-10-30,48.209,11.555
SEE940116524932,0.021,Erdgas,2016-10-24,,
SEE911327079672,0.0055,Erdgas,2014-07-28,,
SEE953710998788,0.0054,Erdgas,2012-01-11,,
SEE927642545105,0.0053,Mineralölprodukte,2010-02-08,,
SEE998199215346,0.6,Mineralölprodukte,2018-07-01,52.775,13.266
SEE959745777213,0.785,Erdgas,2018-08-06,52.117,8.658
SEE961791472622,0.128,andere Gase,2013-04-25,49.71586,10.003408
SEE934317340323,0.0055,Erdgas,2009-06-29,,
SEE937686318412,0.009,Erdgas,2008-09-15,,
SEE928510454161,0.0055,Erdgas,2016-06-20,,
SEE952465838417,0.0047,Erdgas,2015-02-04,,
SEE911644789957,0.0009,andere Gase,2013-04-15,,
SEE941380101010,0.0075,Erdgas,2011-01-13,,
SEE960267668545,0.02,Erdgas,2014-01-20,,
SEE937921031168,0.02,Erdgas,2016-11-01,,
SEE966162754147,0.00075,Erdgas,2017-08-10,,
SEE909194709600,0.0495,Erdgas,2018-01-29,50.439,12.091
SEE908477545218,0.085,Mineralölprodukte,2010-10-11,50.83423,7.204008
SEE962519822507,0.003,Erdgas,2013-12-12,,
SEE991401015857,0.0053,Mineralölprodukte,2010-11-18,,
SEE902991921602,0.012,Erdgas,2019-01-25,,
SEE930358001889,0.001,Erdgas,2019-01-14,,
SEE964243106052,0.0055,Mineralölprodukte,2006-03-27,,
SEE931280636705,0.015,Erdgas,2012-02-02,,
