ags,name,type,nuts3,area_km2,hh_mwh,cts_mwh,industry_mwh,total_mwh,total_gwh,density_mwh_per_km2
09274135,Gerzen,Gemeinde,DE227,17.06959342205386,3193.1799751419476,2954.882962071648,4527.643248335589,10675.706185549185,10.675706185549185,625.4224058878992
01054167,Enge-Sande,Gemeinde,DEF07,24.958305530680697,3191.866567049667,2953.667569508646,4525.780953279377,10671.31508983769,10.67131508983769,427.5656885728751
13071142,Stavenhagen,Stadt,DE80J,40.96597366603919,3191.212074496445,2953.061919683279,4524.852941450185,10669.126935629909,10.669126935629908,260.43874906053117
07141029,Diez,Stadt,DEB1A,12.376840572860363,3190.763707951339,2952.6470133281086,4524.217197841456,10667.627919120903,10.667627919120903,861.9023454590358
07337032,Gommersheim,Gemeinde,DEB3H,11.322763163620593,3190.1073671343074,2952.0396531690567,4523.286565339684,10665.433585643048,10.665433585643047,941.946186767422
12069596,Seddiner See,Gemeinde,DE40E,24.030610759480837,3187.2151014787128,2949.363228234035,4519.185591648924,10655.763921361671,10.655763921361672,443.424598234884
13073017,Dierhagen,Gemeinde,DE80L,27.9281652114578,3185.5990629023763,2947.8677895514547,4516.894193667551,10650.361046121381,10.65036104612138,381.3483974146632
07335030,Niedermohr,Gemeinde,DEB3F,11.918210899501062,3184.970054347204,2947.285721933237,4516.002315865443,10648.258092145885,10.648258092145884,893.4443417670733
03151026,Schönewörde,Gemeinde,DE914,17.58401309002206,3183.0621868108165,2945.5202325712053,4513.2971305526535,10641.879549934676,10.641879549934677,605.2019806544243
09780134,Ofterschwang,Gemeinde,DE27E,19.537360391211617,3182.4489125733166,2944.9527250678475,4512.42756260396,10639.829200245125,10.639829200245126,544.588879316122
09183115,Egglkofen,Gemeinde,DE21G,14.021091671273798,3181.853374465078,2944.401630102005,4511.583142898234,10637.838147465316,10.637838147465317,758.7025601765346
03154022,Süpplingenburg,Gemeinde,DE917,14.407771399975859,3181.537809466012,2944.109614729734,4511.135699989108,10636.783124184853,10.636783124184852,738.2670663557776
03256015,Hoyerhagen,Gemeinde,DE927,22.65866585192023,3181.5192184248835,2944.092411079742,4511.109339557669,10636.720969062295,10.636720969062296,469.43280061481977
03359019,Großenwörden,Gemeinde,DE939,12.352618845596858,3180.5396134620214,2943.1859109648576,4509.720347446153,10633.445871873033,10.633445871873032,860.8252229577511
16074019,Frauenprießnitz,Gemeinde,DEG0J,18.453208380976275,3180.0888945243632,2942.7688277688208,4509.081268355451,10631.938990648636,10.631938990648635,576.1566645293661
08425073,Lauterach,Gemeinde,DE145,13.779355176968416,3179.928046658176,2942.6199834747295,4508.853200485472,10631.401230618378,10.631401230618378,771.5456270688411
03255019,Heinsen,Gemeinde,DE926,18.884422834560304,3177.43990615024,2940.3175250942536,4505.325240063776,10623.08267130827,10.62308267130827,562.5314982815895
06435022,Niederdorfelden,Gemeinde,DE719,6.607186086995604,3177.3188748963375,2940.205526023478,4505.153628584361,10622.678029504177,10.622678029504177,1607.746155418862
09772186,Oberottmarshausen,Gemeinde,DE276,8.500772125208448,3177.0636097979873,2939.969310559331,4504.791685534458,10621.824605891778,10.621824605891778,1249.5129206432316
09577172,Theilenhofen,Gemeinde,DE25C,20.23965649083822,3174.9349432078243,2937.9994996848486,4501.773426936461,10614.707869829133,10.614707869829134,524.4509893057739
