bus_id,capacity_mw,plant_count,carrier
35266.0,17.520014000000007,1150,solar
35267.0,19.305538,1613,solar
35268.0,24.699804999999984,2789,solar
35269.0,13.380215000000018,1083,solar
35270.0,2.0424949999999997,153,solar
35271.0,6.917765999999998,712,solar
35272.0,13.031570999999994,1158,solar
35273.0,16.130508999999996,2337,solar
35275.0,5.561864999999991,712,solar
35279.0,61.297387999999984,3668,solar
35280.0,12.640542000000007,1013,solar
35282.0,3.526179,445,solar
35284.0,24.951193,816,solar
35285.0,15.893591000000004,1911,solar
35287.0,17.151677999999997,1783,solar
35288.0,62.520878999999994,5300,solar
35289.0,26.531918000000115,3287,solar
35290.0,26.459843999999997,3427,solar
35291.0,49.629942999999976,4827,solar
35294.0,50.68115899999993,1201,solar
35295.0,81.415448,3217,solar
35296.0,44.34130499999999,3041,solar
35297.0,25.885619999999996,1393,solar
35299.0,25.172456999999994,3203,solar
35300.0,24.361732999999994,2163,solar
35301.0,14.717878999999991,1579,solar
35302.0,23.924127999999982,2291,solar
35303.0,9.323213,452,solar
35304.0,11.137091000000003,567,solar
35307.0,42.023697000000006,2814,solar
35309.0,35.616991999999996,4382,solar
35310.0,16.079845999999996,2079,solar
35313.0,5.6437149999999985,328,solar
35315.0,23.095525999999982,2301,solar
35316.0,19.633087000000003,1259,solar
35317.0,22.856572,1942,solar
35318.0,33.738226,2068,solar
35319.0,3.768595,197,solar
35320.0,42.038768000000026,3163,solar
35322.0,13.888221000000016,1620,solar
35323.0,2.159233,275,solar
35325.0,45.38380899999996,2026,solar
35326.0,16.826582000000002,788,solar
35327.0,67.69281699999999,3715,solar
35328.0,6.805460999999999,545,solar
35329.0,4.180904999999999,422,solar
35330.0,21.948206999999993,1952,solar
35331.0,9.070366,687,solar
35333.0,20.353272999999984,1215,solar
35334.0,23.221987000000027,2102,solar
35335.0,0.636155,85,solar
35336.0,41.61525699999999,1609,solar
35339.0,15.853680000000008,1447,solar
35344.0,20.705678000000002,2067,solar
35345.0,21.883408000000006,1591,solar
35347.0,4.2692779999999955,696,solar
35350.0,5.769969,607,solar
35352.0,9.616291999999989,1485,solar
35353.0,34.033713000000056,3869,solar
35357.0,16.87012100000003,1824,solar
35359.0,10.223064999999993,1445,solar
35362.0,43.14898700000005,2986,solar
35363.0,25.747153000000047,2591,solar
35364.0,17.68534200000001,1291,solar
35365.0,4.826478999999997,308,solar
35367.0,13.689649000000005,1296,solar
35368.0,6.771783999999998,427,solar
35371.0,57.987019999999966,3703,solar
35372.0,72.85884499999972,3525,solar
35373.0,88.980547,2752,solar
35374.0,82.285798,4408,solar
35375.0,89.49056500000003,5036,solar
35376.0,57.04595000000001,2571,solar
35377.0,64.57428300000001,2878,solar
35378.0,14.066941999999994,1270,solar
35379.0,60.02028900000004,3477,solar
35380.0,14.979801999999982,2719,solar
35381.0,22.386820000000007,915,solar
35382.0,54.39492799999989,3128,solar
35383.0,33.458814000000025,1217,solar
35389.0,62.343142,1578,solar
