line_id,bus0,bus1,r,x,s_nom,length,carrier,num_parallel,b,g,v_nom,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,build_year,lifetime,capital_cost,cables,terrain_factor,v_ang_min,v_ang_max,type,geom,topo
33161,8512,8518,0.6353760820000001,1.831275468,1040.0,11.639337804994653,AC,1.0,9.228560790638133e-06,0.0,220.0,True,520.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33162,2893,2895,0.087799536,0.25305522549995524,1040.0,2.1284272406507747,AC,1.0,4.946283054623027e-06,0.0,220.0,True,520.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33163,13138,13131,0.0890256324,0.799092272,3580.0,6.349280454900615,AC,1.0,1.2546754412912452e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33164,36534,14679,0.0686931016,0.616587278,3580.0,4.9536750256133235,AC,1.0,1.0675150922894374e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33165,34917,341,2.9124586260000003,8.39427336,1040.0,53.754040420546715,AC,1.0,2.434263479372101e-05,0.0,220.0,True,520.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33166,339,342,1.67335982,4.82294868,1040.0,30.673412762623542,AC,1.0,4.8689752575015504e-05,0.0,220.0,True,520.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33167,34800,3417,0.19523067719999998,1.752387138,3580.0,13.912348700707433,AC,1.0,2.7640465719333157e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33168,16225,15935,0.2174253904,1.9516064320000002,3580.0,15.48914526634627,AC,1.0,9.363379088247496e-06,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33169,3978,40270,0.5758227244535543,1.6596363417873883,520.0,8.200078656690053,AC,1.0,4.3592268675343345e-06,0.0,220.0,True,520.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33170,37457,37610,1.082471496,9.716221139999998,3580.0,77.1928351926526,AC,1.0,0.000150690030770825,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33171,35136,36167,0.097767464,0.8775582693333333,5370.0,10.44820342156379,AC,1.0,2.64704770697907e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33172,15229,189,0.194406442,1.744989526,3580.0,13.875060845372412,AC,1.0,2.8610156994373396e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33173,1928,34788,0.083635805,0.24105462700000002,2080.0,3.239421640018678,AC,1.0,1.0191895284966494e-05,0.0,220.0,True,520.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33174,14730,14374,0.17323090400000002,1.554915084,3580.0,12.364176022864509,AC,1.0,2.4471314121072798e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33175,4492,4495,0.11542932281665372,1.0360906973333333,3580.0,11.267067179476973,AC,1.0,1.5426357426689196e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33176,9103,8879,0.3170476002,2.8458113739999997,3580.0,22.605058381680927,AC,1.0,1.650854930504121e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33177,37282,12188,0.698193494,6.26696722,3580.0,49.822806224971366,AC,1.0,0.00010705721044377137,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33178,14745,14741,0.3222264981777657,2.8922997506644794,5370.0,34.43330733664235,AC,1.0,5.2482144763819676e-05,0.0,380.0,True,3580.0,inf,1.0,0,inf,0.0,6,1.0,-inf,inf,,,
33179,10141,36119,0.4560132506,4.093168176,3580.0,32.55389493605759,AC,1.0,2.1211935933077734e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33180,8617,40147,0.5953814159999999,5.34412848,1790.0,21.21288413525457,AC,1.0,2.203196340647839e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
