egon_line_id,eic_code,jao_name,jao_length_km,path_hops,length_ratio,egon_trafo_id
33859.0,11T0-0000-0843-0,Meckenheim - Sechtem BGEIST W ,22.275320149411343,1.0,0.94,
33095.0,11T0-0000-0376-4,Maximiliansau - Mutterstadt BIENWD W ,47.9401794893425,1.0,0.937,
33706.0,11T0-0000-0114-7,Y-Altenkleusheim (-Garenfeld - Opladen) BIGGE W ,52.73624436354184,1.0,0.967,
1834.0,11T0-0000-0274-F,Y-Garenfeld (-Altenkleusheim - Opladen) BIGGE W ,10.049508411261836,1.0,0.963,
5344.0,11T0-0000-0272-L,Bixterheide - Garenfeld BIXTRH N ,22.27493328891095,2.0,0.931,
33703.0,11T0-0000-0420-0,Y-Opladen (-Altenkleusheim - Garenfeld) BIGGE W ,58.21860842824953,2.0,0.96,
33704.0,11T0-0000-0420-0,Y-Opladen (-Altenkleusheim - Garenfeld) BIGGE W ,58.21860842824953,2.0,0.96,
33763.0,11T0-0000-0175-H,Y-Bixterheide (-Altenkleusheim - Opladen) BIGGE O ,12.163105162265255,1.0,0.909,
33138.0,11T0-0000-0740-E,Mittelbexbach - Uchtelfangen BLIES N ,20.305891551757625,1.0,0.96,
33659.0,11T0-0000-0176-E,Bochum - Eiberg BOCHUM W ,12.89045394309713,5.0,0.941,
1497.0,11T0-0000-0176-E,Bochum - Eiberg BOCHUM W ,12.89045394309713,5.0,0.941,
13115.0,11T0-0000-0183-J,Y-Bochum (-Kusenhorst - Poeppinghausen) HOCHLR W ,11.747051581910672,6.0,2.275,
1499.0,11T0-0000-0176-E,Bochum - Eiberg BOCHUM W ,12.89045394309713,5.0,0.941,
13113.0,11T0-0000-0183-J,Y-Bochum (-Kusenhorst - Poeppinghausen) HOCHLR W ,11.747051581910672,6.0,2.275,
2165.0,11T0-0000-0176-E,Bochum - Eiberg BOCHUM W ,12.89045394309713,5.0,0.941,
2166.0,11T0-0000-0176-E,Bochum - Eiberg BOCHUM W ,12.89045394309713,5.0,0.941,
