class,line_id,bus0,bus1,v_nom,s_nom,length_km,x_ohm,peak_flow_MW,peak_loading,suggested_fix,gen_MW,peak_load_MW,evacuation_MW,n_duplicates,endpoint_has_trafo,pocket_n_buses,pocket_gen_MW,pocket_peak_load_MW,nearest_ehv_bus,nearest_ehv_kv,nearest_ehv_km
B_radial_overloaded,30749,40330,35268,110.0,280.0,3.639551832648751,0.34409738,643.1659545898438,2.2970212663922993,uplift s_nom (add parallel circuit) by 3x; add EHV transformer at this pocket,,,,,False,,,,,,
B_radial_overloaded,30419,40071,40070,110.0,280.0,0.9844718961990444,0.093000358,533.2402954101562,1.9044296264648437,uplift s_nom (add parallel circuit) by 2x; add EHV transformer at this pocket,,,,,False,,,,,,
B_radial_overloaded,30418,40070,24339,110.0,280.0,1.041494312129493,0.098249096,520.7396850585938,1.8597845894949776,uplift s_nom (add parallel circuit) by 2x; add EHV transformer at this pocket,,,,,False,,,,,,
B_radial_overloaded,21883,24338,24339,110.0,280.0,1.029234268404675,0.097154409,460.4924621582031,1.644615936279297,uplift s_nom (add parallel circuit) by 2x; add EHV transformer at this pocket,,,,,False,,,,,,
B_radial_overloaded,32942,34194,5693,110.0,280.0,0.4809200442972907,0.05,436.41363525390625,1.558620125906808,uplift s_nom (add parallel circuit) by 2x; add EHV transformer at this pocket,,,,,False,,,,,,
B_radial_overloaded,22379,35984,38636,110.0,260.0,3.9300946282918034,1.4753409,413.503173828125,1.5903968224158653,uplift s_nom (add parallel circuit) by 2x; add EHV transformer at this pocket,,,,,False,,,,,,
B_radial_overloaded,33077,36322,37329,110.0,280.0,14.4992509173753,1.3672274,382.24859619140625,1.365173557826451,uplift s_nom (add parallel circuit) by 2x,,,,,True,,,,,,
B_radial_overloaded,30082,39832,38636,110.0,260.0,7.77593146120063,2.9377348,364.00457763671875,1.4000176062950722,uplift s_nom (add parallel circuit) by 2x; add EHV transformer at this pocket,,,,,False,,,,,,
B_radial_overloaded,30081,28250,39832,110.0,260.0,13.092482252504164,4.9377559,326.27606201171875,1.254907930814303,uplift s_nom (add parallel circuit) by 2x; add EHV transformer at this pocket,,,,,False,,,,,,
B_radial_overloaded,9417,35967,36206,110.0,280.0,2.3438982926297047,0.21949884,316.32232666015625,1.1297225952148438,uplift s_nom (add parallel circuit) by 2x; add EHV transformer at this pocket,,,,,False,,,,,,
C_dummy_connector,32942,34194,5693,110.0,280.0,0.4809200442972907,0.05,436.41363525390625,1.558620125906808,merge bus0+bus1 (same substation) or raise x to physical ≥0.05,,,,,,,,,,,
C_dummy_connector,585,1984,35268,110.0,280.0,0.47926747189957414,0.05,297.0064392089844,1.0607372828892299,merge bus0+bus1 (same substation) or raise x to physical ≥0.05,,,,,,,,,,,
C_dummy_connector,12347,1984,35268,110.0,280.0,0.47926747189957414,0.05,297.0064392089844,1.0607372828892299,merge bus0+bus1 (same substation) or raise x to physical ≥0.05,,,,,,,,,,,
C_dummy_connector,30313,39993,35708,110.0,280.0,0.4690588185218094,0.05,222.07977294921875,0.7931420462472099,merge bus0+bus1 (same substation) or raise x to physical ≥0.05,,,,,,,,,,,
C_dummy_connector,26265,24560,23626,110.0,1040.0,0.3665446374147722,0.05,220.69558715820312,0.2122072953444261,merge bus0+bus1 (same substation) or raise x to physical ≥0.05,,,,,,,,,,,
C_dummy_connector,33300,13371,6700,110.0,260.0,0.01,0.05,173.88821411132812,0.6688008235051082,merge bus0+bus1 (same substation) or raise x to physical ≥0.05,,,,,,,,,,,
C_dummy_connector,24340,30064,36165,110.0,1040.0,0.40520586872824793,0.05,121.85475158691406,0.11716803037203276,merge bus0+bus1 (same substation) or raise x to physical ≥0.05,,,,,,,,,,,
C_dummy_connector,29336,25751,36811,110.0,280.0,0.35626560008548275,0.05,114.10896301269531,0.40753201075962614,merge bus0+bus1 (same substation) or raise x to physical ≥0.05,,,,,,,,,,,
