cluster_0,cluster_1,name_0,name_1,voltage_kv,egon_segments,egon_max_cables,egon_circuits,jao_single_hop,jao_multi_hop,jao_total_traversals,diff_vs_single,diff_vs_total,egon_length_km,cables_detail,sh_names,mh_names
osm_829116805,spatial_35026,Schaltanlage Elsfleth/West,spatial_35026,380.0,1,3,1,0,2,2,,-1.0,7.8,[3],,Elsfleth/W - Farge gruen; Y-Alfstedt (-Elsfleth/W - Dollern) schwarz
osm_829116805,spatial_797,Schaltanlage Elsfleth/West,spatial_797,380.0,2,3,1,0,2,2,,-1.0,42.3,"[3, 3]",,Elsfleth/W - Niedervieland gruen; Elsfleth/W - Ganderkesee rot
osm_8372492992,spatial_40387,Arcadis Ost 1,spatial_40387,220.0,1,3,1,0,0,0,,,24.4,[3],,
osm_83916207,spatial_3260,Elverlingsen,spatial_3260,220.0,1,3,1,0,0,0,,,11.6,[3],,
osm_851299584,spatial_139,Umspannwerk Putlitz Süd,spatial_139,380.0,1,3,1,0,2,2,,-1.0,57.7,[3],,Siedenbrünzow - Putlitz/Süd 513; Güstrow - Putlitz/Süd 514
osm_85523877,spatial_35541,Vöhringen Amprion,spatial_35541,220.0,1,3,1,0,0,0,,,0.4,[3],,
osm_85523877,spatial_35542,Vöhringen Amprion,spatial_35542,380.0,1,3,1,0,0,0,,,0.4,[3],,
osm_85523877,spatial_38973,Vöhringen Amprion,spatial_38973,380.0,1,3,1,1,0,1,0.0,0.0,47.2,[3],Voehringen - Woringen VOEHRG O ,
osm_85523877,spatial_7606,Vöhringen Amprion,spatial_7606,380.0,2,3,1,0,4,4,,-3.0,3.3,"[3, 3]",,Y-Voehringen (-Dellmensingen - Hoheneck) DONAU O ; Dellmensingen - Voehringen DONAU W     ; Gundelfingen - Voehringen GUENZ N ; Gundelfingen - Voehringen GUENZ S 
osm_87722999,spatial_117,Brokdorf,spatial_117,380.0,1,6,2,0,2,2,,0.0,3.1,[6],,Brokdorf - Wilster/W weiss; Brokdorf - Wilster/W schwarz
osm_87722999,spatial_1556,Brokdorf,spatial_1556,220.0,1,3,1,0,2,2,,-1.0,9.5,[3],,Hamburg/N - Brokdorf blau; Brokdorf - Itzehoe/W gruen
osm_881636329,spatial_122,Umspannwerk Stade-West,spatial_122,380.0,1,12,4,0,1,1,,3.0,8.9,[12],,Wilster/W - Stade/W gelb
osm_88901626,osm_88916034,Schwörstadt,Netzknoten Kühmoos,220.0,1,6,2,2,0,2,0.0,0.0,8.5,[6],Kuehmoos - Schwoerstadt ge; Kuehmoos - Schwoerstadt gn,
osm_88901626,spatial_15325,Schwörstadt,spatial_15325,380.0,2,3,1,0,0,0,,,5.4,"[3, 3]",,
osm_88901626,spatial_36812,Schwörstadt,spatial_36812,380.0,1,3,1,0,0,0,,,0.5,[3],,
osm_88916034,spatial_1265,Netzknoten Kühmoos,spatial_1265,380.0,2,3,1,0,4,4,,-3.0,1.9,"[3, 3]",,Y-Kuehmoos (-Engstlatt - Villingen) gn; Kuehmoos - Laufenburg br (Heimbach); Kuehmoos - Laufenburg ge (Seelbach); Kuehmoos - Laufenburg rt (Murg)
osm_88916034,spatial_13826,Netzknoten Kühmoos,spatial_13826,220.0,2,3,1,0,1,1,,0.0,13.3,"[3, 3]",,Kuehmoos - Tiengen gr
osm_88916034,spatial_15328,Netzknoten Kühmoos,spatial_15328,380.0,2,3,1,0,0,0,,,0.9,"[3, 3]",,
osm_88916034,spatial_15329,Netzknoten Kühmoos,spatial_15329,380.0,1,3,1,0,4,4,,-3.0,0.4,[3],,Daxlanden - Kuehmoos ge; Eichstetten - Kuehmoos gn; Eichstetten - Kuehmoos rt; Asphard - Kuehmoos rt (Wehra)
osm_88916034,spatial_15543,Netzknoten Kühmoos,spatial_15543,220.0,1,3,1,0,0,0,,,9.6,[3],,
osm_88916034,spatial_38444,Netzknoten Kühmoos,spatial_38444,220.0,2,3,1,0,0,0,,,5.1,"[3, 3]",,
osm_88916034,spatial_38445,Netzknoten Kühmoos,spatial_38445,380.0,1,3,1,0,0,0,,,7.1,[3],,
osm_88916034,spatial_38812,Netzknoten Kühmoos,spatial_38812,380.0,2,3,1,0,0,0,,,2.2,"[3, 3]",,
osm_88945213,spatial_38383,Schaltanlage Gundelfingen,spatial_38383,380.0,1,12,4,0,0,0,,,1.0,[12],,
osm_88945213,spatial_8330,Schaltanlage Gundelfingen,spatial_8330,380.0,2,3,1,0,4,4,,-3.0,3.5,"[3, 3]",,Gundelfingen - Voehringen GUENZ N ; Gundelfingen - Voehringen GUENZ S ; Gundelfingen - Meitingen MEITGN S ; Gundelfingen - Meitingen MEITGN N 
osm_89043564,spatial_11486,Station Eiserfeld,spatial_11486,220.0,1,6,2,2,0,2,0.0,0.0,16.8,[6],Y-Eiserfeld (-Altenkleusheim - Setzerwiese) EISERF ; Y-Eiserfeld (-Altenkleusheim - Setzer Wiese) SETZE N ,
osm_89176939,spatial_12250,SA Bauler,spatial_12250,220.0,2,3,1,0,0,0,,,3.1,"[3, 3]",,
osm_89176939,spatial_12900,SA Bauler,spatial_12900,220.0,2,3,1,0,0,0,,,20.5,"[3, 3]",,
osm_89215122,spatial_10371,Station Saarwellingen,spatial_10371,220.0,2,3,1,0,0,0,,,1.8,"[3, 3]",,
