bus_id,carrier,n_units,is_aggregated,p_nom_mw,component
1016.0,oil,1,False,1.04,generator
1016.0,solar,381,True,3.0971534084507044,generator
1019.0,biogas,1,True,0.0175,generator
1019.0,coal,2,False,253.0,generator
1019.0,gas,2,False,3.584,generator
1019.0,solar,521,True,4.179025,generator
1028.0,biogas,2,True,0.301,generator
1028.0,gas,1,False,1.048,generator
1028.0,onwind,3,False,1.475,generator
1028.0,solar,1207,True,11.39155,generator
1029.0,biogas,4,True,2.461,generator
1029.0,biomass,1,True,0.372,generator
1029.0,onwind,14,False,16.55,generator
1029.0,solar,1412,True,14.099758,generator
1030.0,biogas,2,True,0.32754285714285714,generator
1030.0,run_of_river,2,False,1.48,generator
1030.0,solar,2117,True,16.81498957142857,generator
1042.0,biogas,4,True,0.7946666666666666,generator
1042.0,run_of_river,1,False,0.04,generator
1042.0,solar,815,True,9.729354666666667,generator
1044.0,biogas,3,True,0.7946666666666666,generator
1044.0,solar,815,True,9.729354666666667,generator
1045.0,biomass,2,True,0.174,generator
1045.0,solar,917,True,16.131208,generator
1057.0,biogas,16,True,6.68,generator
1057.0,biomass,2,True,0.218,generator
1057.0,run_of_river,14,False,0.7621,generator
1057.0,solar,2506,True,58.254715,generator
1071.0,biogas,0,True,0.059515,generator
1071.0,biomass,0,True,0.0915,generator
1071.0,solar,326,True,7.5649285,generator
1072.0,biogas,1,True,0.016411764705882355,generator
1072.0,biomass,1,True,0.21141176470588235,generator
1072.0,solar,404,True,5.775891588235294,generator
1074.0,biogas,5,True,1.119,generator
1074.0,onwind,1,False,0.8,generator
1074.0,solar,900,True,7.731635,generator
1075.0,biogas,6,True,1.9823333333333333,generator
1075.0,biomass,0,True,0.024999999999999998,generator
1075.0,solar,386,True,5.2409229999999996,generator
1078.0,biogas,6,True,1.9823333333333333,generator
1078.0,biomass,0,True,0.024999999999999998,generator
1078.0,onwind,15,False,8.55,generator
1078.0,solar,386,True,5.2409229999999996,generator
1079.0,biogas,1,True,0.09364,generator
1079.0,solar,286,True,2.9324552,generator
1084.0,biogas,1,True,0.05,generator
1084.0,solar,1134,True,26.275792000000003,generator
1098.0,biogas,1,True,0.07352513888888888,generator
1098.0,biomass,0,True,0.044444444444444446,generator
1098.0,solar,389,True,2.8918480902777777,generator
1099.0,biogas,1,True,0.07352513888888888,generator
