carrier,bus,gen_id,annual_dp_up_MWh,annual_dp_dn_MWh
onwind,7640,2885,0.0,-0.0
onwind,7644,2888,0.0,-0.0
onwind,7660,2897,0.0,-0.0
onwind,7665,2900,0.0,-0.0
onwind,7667,2905,0.0,-0.0
onwind,7712,2909,0.0,-0.0
onwind,7766,2916,0.0,-0.0
onwind,7793,2920,0.0,-0.0
onwind,7794,2923,0.0,-0.0
onwind,7856,2949,0.0,-0.0
onwind,7859,2952,0.0,-0.0
onwind,7866,2954,0.0,-0.0
onwind,7880,2961,0.0,-0.0
onwind,7891,2968,0.0,-0.0
onwind,7896,2971,0.0,-0.0
onwind,7902,2974,0.0,-0.0
onwind,7922,2978,0.0,-0.0
onwind,7944,2983,0.0,-0.0
onwind,7952,2989,0.0,-0.0
onwind,7982,3008,0.0,-0.0
onwind,7989,3018,0.0,-0.0
onwind,8019,3025,0.0,-0.0
onwind,8020,3028,0.0,-0.0
onwind,8032,3035,0.0,-0.0
onwind,8178,3073,0.0,-0.0
onwind,8200,3079,0.0,-0.0
onwind,8236,3085,0.0,-0.0
onwind,8241,3087,0.0,-0.0
onwind,8276,3090,0.0,-0.0
onwind,8278,3092,0.0,-0.0
onwind,8281,3094,0.0,-0.0
onwind,8304,3097,0.0,-0.0
onwind,8326,3099,0.0,-0.0
onwind,8423,3106,0.0,-0.0
onwind,8429,3109,0.0,-0.0
onwind,8430,3112,0.0,-0.0
onwind,8434,3115,0.0,-0.0
onwind,8451,3118,0.0,-0.0
onwind,8524,3141,0.0,-0.0
onwind,8528,3149,0.0,-0.0
onwind,8531,3156,0.0,-0.0
onwind,8532,3160,0.0,-0.0
onwind,8533,3164,0.0,-0.0
onwind,8534,3167,0.0,-0.0
onwind,8627,3176,0.0,-0.0
onwind,8630,3180,0.0,-0.0
onwind,8636,3187,0.0,-0.0
onwind,8651,3190,0.0,-0.0
onwind,8654,3194,0.0,-0.0
onwind,8656,3198,0.0,-0.0
onwind,8657,3202,0.0,-0.0
onwind,8658,3206,0.0,-0.0
onwind,8662,3210,0.0,-0.0
onwind,8666,3213,0.0,-0.0
onwind,8680,3220,0.0,-0.0
onwind,8745,3233,0.0,-0.0
onwind,8747,3237,0.0,-0.0
onwind,8764,3252,0.0,-0.0
onwind,8786,3257,0.0,-0.0
onwind,8834,3261,0.0,-0.0
onwind,8888,3275,0.0,-0.0
onwind,8902,3279,0.0,-0.0
onwind,8980,3288,0.0,-0.0
onwind,9019,3311,0.0,-0.0
onwind,9082,3331,0.0,-0.0
onwind,9099,3337,0.0,-0.0
onwind,9146,3344,0.0,-0.0
onwind,9148,3347,0.0,-0.0
onwind,9220,3355,0.0,-0.0
onwind,9329,3362,0.0,-0.0
onwind,9330,3367,0.0,-0.0
onwind,9335,3370,0.0,-0.0
onwind,9354,3378,0.0,-0.0
onwind,9355,3381,0.0,-0.0
onwind,9356,3385,0.0,-0.0
onwind,9357,3389,0.0,-0.0
onwind,9358,3393,0.0,-0.0
onwind,9359,3395,0.0,-0.0
onwind,9374,3398,0.0,-0.0
onwind,9585,3404,0.0,-0.0
onwind,9589,3408,0.0,-0.0
onwind,9591,3413,0.0,-0.0
onwind,9597,3422,0.0,-0.0
onwind,9605,3425,0.0,-0.0
onwind,9608,3429,0.0,-0.0
onwind,9611,3433,0.0,-0.0
onwind,9612,3437,0.0,-0.0
onwind,9614,3439,0.0,-0.0
onwind,9630,3443,0.0,-0.0
onwind,9635,3451,0.0,-0.0
onwind,9639,3454,0.0,-0.0
onwind,9640,3457,0.0,-0.0
onwind,9642,3460,0.0,-0.0
onwind,9652,3465,0.0,-0.0
onwind,9653,3468,0.0,-0.0
onwind,9654,3470,0.0,-0.0
onwind,9656,3477,0.0,-0.0
onwind,9659,3480,0.0,-0.0
onwind,9660,3483,0.0,-0.0
onwind,9665,3486,0.0,-0.0
onwind,9675,3489,0.0,-0.0
onwind,9680,3493,0.0,-0.0
onwind,9682,3497,0.0,-0.0
onwind,9694,3501,0.0,-0.0
onwind,9699,3505,0.0,-0.0
onwind,9700,3508,0.0,-0.0
onwind,9704,3511,0.0,-0.0
onwind,9705,3514,0.0,-0.0
onwind,9719,3521,0.0,-0.0
onwind,9730,3526,0.0,-0.0
onwind,9737,3530,0.0,-0.0
onwind,9739,3532,0.0,-0.0
onwind,9740,3536,0.0,-0.0
onwind,9753,3539,0.0,-0.0
onwind,9754,3542,0.0,-0.0
onwind,9755,3545,0.0,-0.0
onwind,9756,3548,0.0,-0.0
onwind,9763,3555,0.0,-0.0
onwind,9767,3561,0.0,-0.0
onwind,9769,3564,0.0,-0.0
onwind,9770,3567,0.0,-0.0
onwind,9772,3572,0.0,-0.0
onwind,9776,3577,0.0,-0.0
onwind,9794,3580,0.0,-0.0
onwind,9818,3583,0.0,-0.0
onwind,9819,3587,0.0,-0.0
onwind,9822,3594,0.0,-0.0
onwind,9828,3599,0.0,-0.0
onwind,9830,3602,0.0,-0.0
onwind,9923,3631,0.0,-0.0
onwind,9925,3634,0.0,-0.0
onwind,9928,3638,0.0,-0.0
onwind,9942,3648,0.0,-0.0
onwind,9969,3657,0.0,-0.0
onwind,9976,3661,0.0,-0.0
onwind,9981,3664,0.0,-0.0
onwind,10012,3673,0.0,-0.0
onwind,10013,3676,0.0,-0.0
onwind,10038,3687,0.0,-0.0
onwind,10041,3694,0.0,-0.0
onwind,10049,3697,0.0,-0.0
onwind,10050,3700,0.0,-0.0
onwind,10054,3705,0.0,-0.0
onwind,10055,3708,0.0,-0.0
onwind,10057,3711,0.0,-0.0
onwind,10059,3714,0.0,-0.0
onwind,10062,3719,0.0,-0.0
onwind,10064,3722,0.0,-0.0
onwind,10081,3729,0.0,-0.0
onwind,10083,3733,0.0,-0.0
onwind,10106,3738,0.0,-0.0
onwind,10112,3743,0.0,-0.0
onwind,10159,3751,0.0,-0.0
onwind,10205,3769,0.0,-0.0
onwind,10279,3787,0.0,-0.0
onwind,10307,3793,0.0,-0.0
onwind,10308,3797,0.0,-0.0
onwind,10309,3800,0.0,-0.0
onwind,10327,3804,0.0,-0.0
onwind,10328,3808,0.0,-0.0
